Volatility,3,Framework,2.9.0
PID,Process,Base,Size,Name,Path,LoadTime,File,output
576,winlogon.exe,0x7ffa41870000,0x126000,RPCRT4.dll,C:\Windows\System32\RPCRT4.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42830000,0x354000,combase.dll,C:\Windows\System32\combase.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41110000,0x100000,ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42140000,0xaf000,advapi32.dll,C:\Windows\System32\advapi32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40c70000,0x4b000,-,-,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40c50000,0x12000,UMPDC.dll,C:\Windows\system32\UMPDC.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40d40000,0x25000,-,-,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41b30000,0x19e000,-,-,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40f70000,0x22000,win32u.dll,C:\Windows\System32\win32u.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42800000,0x2c000,GDI32.dll,C:\Windows\System32\GDI32.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41640000,0x11a000,gdi32full.dll,C:\Windows\System32\gdi32full.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa412a0000,0x9d000,msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42310000,0x30000,IMM32.DLL,C:\Windows\System32\IMM32.DLL,2024-09-17,22:13:16.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40b40000,0x5b000,winsta.dll,C:\Windows\SYSTEM32\winsta.dll,2024-09-17,22:13:17.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40cf0000,0x32000,SspiCli.dll,C:\Windows\system32\SspiCli.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40cc0000,0x2e000,USERENV.dll,C:\Windows\system32\USERENV.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3f4a0000,0x30000,profext.dll,C:\Windows\SYSTEM32\profext.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40a90000,0x33000,ntmarta.dll,C:\Windows\SYSTEM32\ntmarta.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41760000,0x27000,Bcrypt.dll,C:\Windows\System32\Bcrypt.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa41210000,0x82000,bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3f400000,0x96000,firewallapi.dll,C:\Windows\SYSTEM32\firewallapi.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3fb30000,0xca000,DNSAPI.dll,C:\Windows\system32\DNSAPI.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3fee0000,0x3b000,IPHLPAPI.DLL,C:\Windows\SYSTEM32\IPHLPAPI.DLL,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42e50000,0x8000,NSI.dll,C:\Windows\System32\NSI.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3f3c0000,0x36000,fwbase.dll,C:\Windows\system32\fwbase.dll,2024-09-17,22:13:19.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3db80000,0x1e000,uxinit.dll,C:\Windows\SYSTEM32\uxinit.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42480000,0xad000,shcore.dll,C:\Windows\System32\shcore.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3dec0000,0x2f000,dwmapi.dll,C:\Windows\system32\dwmapi.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3dae0000,0x9e000,UxTheme.dll,C:\Windows\system32\UxTheme.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40e10000,0x15d000,CRYPT32.dll,C:\Windows\System32\CRYPT32.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40b30000,0xa000,DPAPI.dll,C:\Windows\system32\DPAPI.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa400b0000,0xc000,CRYPTBASE.dll,C:\Windows\system32\CRYPTBASE.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3daa0000,0x14000,dwminit.dll,C:\Windows\SYSTEM32\dwminit.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3da10000,0x90000,apphelp.dll,C:\Windows\system32\apphelp.dll,2024-09-17,22:13:21.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3d5a0000,0x141000,dsreg.dll,C:\Windows\system32\dsreg.dll,2024-09-17,22:13:35.000000,UTC,Disabled
576,winlogon.exe,0x7ffa42ed0000,0xcd000,OLEAUT32.dll,C:\Windows\System32\OLEAUT32.dll,2024-09-17,22:13:35.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3f860000,0x8a000,msvcp110_win.dll,C:\Windows\system32\msvcp110_win.dll,2024-09-17,22:13:35.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40a70000,0x18000,cryptsp.dll,C:\Windows\SYSTEM32\cryptsp.dll,2024-09-17,22:13:35.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3b2e0000,0x16000,usermgrcli.dll,C:\Windows\SYSTEM32\usermgrcli.dll,2024-09-17,22:13:36.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3dfd0000,0x12000,kernel.appcore.dll,C:\Windows\SYSTEM32\kernel.appcore.dll,2024-09-17,22:13:37.000000,UTC,Disabled
576,winlogon.exe,0x7ffa2ea30000,0x1d000,-,-,2024-09-17,22:13:43.000000,UTC,Disabled
576,winlogon.exe,0x7ffa40090000,0x19000,wkscli.dll,C:\Windows\system32\wkscli.dll,2024-09-17,22:35:14.000000,UTC,Disabled
576,winlogon.exe,0x7ffa3ffc0000,0xc000,netutils.dll,C:\Windows\system32\netutils.dll,2024-09-17,22:35:15.000000,UTC,Disabled
632,services.exe,0x7ff793080000,0xb0000,services.exe,C:\Windows\system32\services.exe,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa43730000,0x1f8000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa42610000,0xbd000,KERNEL32.DLL,C:\Windows\SYSTEM32\KERNEL32.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa41340000,0x2f6000,KERNELBASE.dll,C:\Windows\SYSTEM32\KERNELBASE.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa41870000,0x126000,RPCRT4.dll,C:\Windows\SYSTEM32\RPCRT4.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa40b30000,0xa000,DPAPI.dll,C:\Windows\SYSTEM32\DPAPI.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa40b10000,0x19000,EventAggregation.dll,C:\Windows\SYSTEM32\EventAggregation.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa42ba0000,0x9c000,sechost.dll,C:\Windows\SYSTEM32\sechost.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa40fa0000,0x4e000,cfgmgr32.dll,C:\Windows\SYSTEM32\cfgmgr32.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa40ad0000,0x33000,DEVOBJ.dll,C:\Windows\SYSTEM32\DEVOBJ.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa41110000,0x100000,ucrtbase.dll,C:\Windows\SYSTEM32\ucrtbase.dll,2024-09-17,22:13:17.000000,UTC,Disabled
632,services.exe,0x7ffa3f5d0000,0x93000,scesrv.dll,C:\Windows\SYSTEM32\scesrv.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa41a00000,0x9e000,msvcrt.dll,C:\Windows\system32\msvcrt.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa40cf0000,0x32000,sspicli.dll,C:\Windows\system32\sspicli.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa3f510000,0x4f000,AUTHZ.dll,C:\Windows\system32\AUTHZ.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa3f4d0000,0x32000,WUDFPlatform.dll,C:\Windows\SYSTEM32\WUDFPlatform.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa42140000,0xaf000,advapi32.dll,C:\Windows\SYSTEM32\advapi32.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa40d40000,0x25000,profapi.dll,C:\Windows\SYSTEM32\profapi.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa41210000,0x82000,bcryptPrimitives.dll,C:\Windows\SYSTEM32\bcryptPrimitives.dll,2024-09-17,22:13:19.000000,UTC,Disabled
632,services.exe,0x7ffa3bc50000,0xa000,DABAPI.dll,C:\Windows\SYSTEM32\DABAPI.dll,2024-09-17,22:13:22.000000,UTC,Disabled
632,services.exe,0x7ffa34630000,0x1c000,spinf.dll,C:\Windows\SYSTEM32\spinf.dll,2024-09-17,22:13:32.000000,UTC,Disabled
632,services.exe,0x7ffa42e60000,0x6b000,WS2_32.dll,C:\Windows\SYSTEM32\WS2_32.dll,2024-09-17,22:13:35.000000,UTC,Disabled
632,services.exe,0x7ffa3ff20000,0x6a000,mswsock.dll,C:\Windows\system32\mswsock.dll,2024-09-17,22:13:35.000000,UTC,Disabled
632,services.exe,0x7ffa38230000,0x28000,srvcli.dll,C:\Windows\SYSTEM32\srvcli.dll,2024-09-17,22:13:38.000000,UTC,Disabled
632,services.exe,0x7ffa3b2e0000,0x16000,usermgrcli.dll,C:\Windows\SYSTEM32\usermgrcli.dll,2024-09-17,22:13:43.000000,UTC,Disabled
632,services.exe,0x7ffa3da10000,0x90000,apphelp.dll,C:\Windows\system32\apphelp.dll,2024-09-17,22:15:35.000000,UTC,Disabled
672,lsass.exe,0x7ff62eb20000,0x12000,lsass.exe,C:\Windows\system32\lsass.exe,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa43730000,0x1f8000,ntdll.dll,C:\Windows\SYSTEM32\ntdll.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa42610000,0xbd000,KERNEL32.DLL,C:\Windows\System32\KERNEL32.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41340000,0x2f6000,KERNELBASE.dll,C:\Windows\System32\KERNELBASE.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41870000,0x126000,RPCRT4.dll,C:\Windows\System32\RPCRT4.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40540000,0x19d000,lsasrv.dll,C:\Windows\system32\lsasrv.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41110000,0x100000,ucrtbase.dll,C:\Windows\System32\ucrtbase.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa42e60000,0x6b000,WS2_32.dll,C:\Windows\System32\WS2_32.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40cf0000,0x32000,SspiCli.dll,C:\Windows\system32\SspiCli.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa42ba0000,0x9c000,sechost.dll,C:\Windows\System32\sechost.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41810000,0x56000,WLDAP32.dll,C:\Windows\System32\WLDAP32.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40520000,0x12000,-,-,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40190000,0xed000,samsrv.dll,C:\Windows\SYSTEM32\samsrv.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41760000,0x27000,bcrypt.dll,C:\Windows\System32\bcrypt.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40e10000,0x15d000,CRYPT32.dll,C:\Windows\System32\CRYPT32.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40160000,0x27000,ncrypt.dll,C:\Windows\system32\ncrypt.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40120000,0x3b000,NTASN1.dll,C:\Windows\system32\NTASN1.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40040000,0x2d000,Wldp.dll,C:\Windows\system32\Wldp.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41a00000,0x9e000,msvcrt.dll,C:\Windows\System32\msvcrt.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa42140000,0xaf000,advapi32.dll,C:\Windows\System32\advapi32.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa41210000,0x82000,bcryptprimitives.dll,C:\Windows\System32\bcryptprimitives.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x20c85dc0000,0x3000,msprivs.DLL,C:\Windows\system32\msprivs.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ff90000,0x16000,netprovfw.dll,C:\Windows\SYSTEM32\netprovfw.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa400f0000,0x2b000,JOINUTIL.DLL,C:\Windows\system32\JOINUTIL.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa400c0000,0x2f000,negoexts.DLL,C:\Windows\system32\negoexts.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40a70000,0x18000,CRYPTSP.dll,C:\Windows\system32\CRYPTSP.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa400b0000,0xc000,CRYPTBASE.dll,C:\Windows\system32\CRYPTBASE.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fdc0000,0x117000,kerberos.DLL,C:\Windows\system32\kerberos.DLL,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa412a0000,0x9d000,msvcp_win.dll,C:\Windows\System32\msvcp_win.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40000000,0x34000,KerbClientShared.dll,C:\Windows\system32\KerbClientShared.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa40070000,0x15000,cryptdll.dll,C:\Windows\system32\cryptdll.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ff20000,0x6a000,mswsock.dll,C:\Windows\system32\mswsock.dll,2024-09-17,22:13:17.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fd30000,0x8c000,msv1_0.DLL,C:\Windows\system32\msv1_0.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ffe0000,0x14000,NtlmShared.dll,C:\Windows\system32\NtlmShared.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fc50000,0xdd000,netlogon.DLL,C:\Windows\system32\netlogon.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40c70000,0x4b000,powrprof.dll,C:\Windows\SYSTEM32\powrprof.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40cc0000,0x2e000,USERENV.dll,C:\Windows\system32\USERENV.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ffd0000,0xe000,gmsaclient.dll,C:\Windows\system32\gmsaclient.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fc00000,0x43000,logoncli.dll,C:\Windows\system32\logoncli.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ffc0000,0xc000,netutils.dll,C:\Windows\system32\netutils.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fb30000,0xca000,DNSAPI.dll,C:\Windows\system32\DNSAPI.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fee0000,0x3b000,IPHLPAPI.DLL,C:\Windows\SYSTEM32\IPHLPAPI.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa42e50000,0x8000,NSI.dll,C:\Windows\System32\NSI.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40c50000,0x12000,UMPDC.dll,C:\Windows\system32\UMPDC.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fb00000,0x2d000,tspkg.DLL,C:\Windows\system32\tspkg.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3faa0000,0x53000,pku2u.DLL,C:\Windows\system32\pku2u.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3fa00000,0x9c000,cloudAP.DLL,C:\Windows\system32\cloudAP.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40d40000,0x25000,profapi.dll,C:\Windows\system32\profapi.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f8f0000,0x110000,aadcloudap.dll,C:\Windows\SYSTEM32\aadcloudap.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa42830000,0x354000,combase.dll,C:\Windows\System32\combase.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40a90000,0x33000,ntmarta.dll,C:\Windows\SYSTEM32\ntmarta.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40090000,0x19000,wkscli.dll,C:\Windows\SYSTEM32\wkscli.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f860000,0x8a000,msvcp110_win.dll,C:\Windows\SYSTEM32\msvcp110_win.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f810000,0x4a000,MicrosoftAccountCloudAP.dll,C:\Windows\SYSTEM32\MicrosoftAccountCloudAP.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa40b30000,0xa000,DPAPI.DLL,C:\Windows\SYSTEM32\DPAPI.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f7d0000,0x34000,rsaenh.dll,C:\Windows\system32\rsaenh.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f780000,0x4b000,wdigest.DLL,C:\Windows\system32\wdigest.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f6e0000,0x97000,schannel.DLL,C:\Windows\system32\schannel.DLL,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f6c0000,0x1a000,efslsaext.dll,C:\Windows\system32\efslsaext.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa42480000,0xad000,shcore.dll,C:\Windows\System32\shcore.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f670000,0x49000,dpapisrv.dll,C:\Windows\system32\dpapisrv.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3ffb0000,0xc000,SspiSrv.dll,C:\Windows\SYSTEM32\SspiSrv.dll,2024-09-17,22:13:18.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f5c0000,0xc000,KDCPW.DLL,C:\Windows\system32\KDCPW.DLL,2024-09-17,22:13:19.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f560000,0x5a000,scecli.DLL,C:\Windows\system32\scecli.DLL,2024-09-17,22:13:19.000000,UTC,Disabled
672,lsass.exe,0x7ffa40b40000,0x5b000,winsta.dll,C:\Windows\SYSTEM32\winsta.dll,2024-09-17,22:13:19.000000,UTC,Disabled
672,lsass.exe,0x7ffa37c20000,0x65000,wevtapi.dll,C:\Windows\SYSTEM32\wevtapi.dll,2024-09-17,22:13:27.000000,UTC,Disabled
672,lsass.exe,0x7ffa3d580000,0x14000,wtsapi32.dll,C:\Windows\SYSTEM32\wtsapi32.dll,2024-09-17,22:13:43.000000,UTC,Disabled
672,lsass.exe,0x7ffa2dae0000,0x1b000,keyiso.dll,C:\Windows\system32\keyiso.dll,2024-09-17,22:13:45.000000,UTC,Disabled
672,lsass.exe,0x7ffa2d350000,0x5a000,NCRYPTPROV.DLL,C:\Windows\system32\NCRYPTPROV.DLL,2024-09-17,22:13:45.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f510000,0x4f000,AUTHZ.dll,C:\Windows\system32\AUTHZ.dll,2024-09-17,22:13:45.000000,UTC,Disabled
672,lsass.exe,0x7ffa2b180000,0x26000,ncryptsslp.dll,C:\Windows\system32\ncryptsslp.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa2aa30000,0x28000,dssenh.dll,C:\Windows\system32\dssenh.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa3f010000,0x23000,gpapi.dll,C:\Windows\SYSTEM32\gpapi.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa2aa10000,0x15000,mskeyprotect.dll,C:\Windows\SYSTEM32\mskeyprotect.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa2a9e0000,0x2d000,SecureTimeAggregator.dll,C:\Windows\System32\SecureTimeAggregator.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa3bab0000,0xa000,DSROLE.dll,C:\Windows\system32\DSROLE.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa3dfd0000,0x12000,kernel.appcore.dll,C:\Windows\SYSTEM32\kernel.appcore.dll,2024-09-17,22:13:48.000000,UTC,Disabled
672,lsass.exe,0x7ffa2a150000,0x31000,cryptnet.dll,C:\Windows\System32\cryptnet.dll,2024-09-17,22:13:48.000000,UTC,Disabled
